Pid,Name,Family,Type,Status,Laddr.IP,Laddr.Port,Raddr.IP,Raddr.Port,Timestamp,FlowId,ClientId,Fqdn
1548,svchost.exe,IPv4,TCP,LISTEN,0.0.0.0,135,0.0.0.0,0,2025-08-17T15:06:47Z,F.D2KUO6M0IPL5Q.H,C.39f282f6e662a1cb,LAPTOP-K8OGF4C7
4,System,IPv4,TCP,LISTEN,172.21.128.1,139,0.0.0.0,0,2025-08-19T18:29:14Z,F.D2KUO6M0IPL5Q.H,C.39f282f6e662a1cb,LAPTOP-K8OGF4C7
4,System,IPv4,TCP,LISTEN,192.168.1.34,139,0.0.0.0,0,2025-08-23T15:12:52Z,F.D2KUO6M0IPL5Q.H,C.39f282f6e662a1cb,LAPTOP-K8OGF4C7
4,System,IPv4,TCP,LISTEN,192.168.73.1,139,0.0.0.0,0,2025-08-23T15:12:10Z,F.D2KUO6M0IPL5Q.H,C.39f282f6e662a1cb,LAPTOP-K8OGF4C7
4,System,IPv4,TCP,LISTEN,192.168.202.1,139,0.0.0.0,0,2025-08-23T15:12:10Z,F.D2KUO6M0IPL5Q.H,C.39f282f6e662a1cb,LAPTOP-K8OGF4C7
5948,vmware-authd.exe,IPv4,TCP,LISTEN,0.0.0.0,902,0.0.0.0,0,2025-08-17T15:06:50Z,F.D2KUO6M0IPL5Q.H,C.39f282f6e662a1cb,LAPTOP-K8OGF4C7
5948,vmware-authd.exe,IPv4,TCP,LISTEN,0.0.0.0,912,0.0.0.0,0,2025-08-17T15:06:50Z,F.D2KUO6M0IPL5Q.H,C.39f282f6e662a1cb,LAPTOP-K8OGF4C7
4896,svchost.exe,IPv4,TCP,LISTEN,0.0.0.0,1514,0.0.0.0,0,2025-08-20T18:09:04Z,F.D2KUO6M0IPL5Q.H,C.39f282f6e662a1cb,LAPTOP-K8OGF4C7
4896,svchost.exe,IPv4,TCP,LISTEN,0.0.0.0,1515,0.0.0.0,0,2025-08-20T18:31:08Z,F.D2KUO6M0IPL5Q.H,C.39f282f6e662a1cb,LAPTOP-K8OGF4C7
27760,Discord.exe,IPv4,TCP,ESTAB,192.168.1.34,5001,162.159.130.235,443,2025-08-23T15:13:29Z,F.D2KUO6M0IPL5Q.H,C.39f282f6e662a1cb,LAPTOP-K8OGF4C7
6392,svchost.exe,IPv4,TCP,LISTEN,0.0.0.0,5040,0.0.0.0,0,2025-08-23T15:12:07Z,F.D2KUO6M0IPL5Q.H,C.39f282f6e662a1cb,LAPTOP-K8OGF4C7
4896,svchost.exe,IPv4,TCP,LISTEN,0.0.0.0,5601,0.0.0.0,0,2025-08-20T18:09:12Z,F.D2KUO6M0IPL5Q.H,C.39f282f6e662a1cb,LAPTOP-K8OGF4C7
21668,Discord.exe,IPv4,TCP,LISTEN,127.0.0.1,6463,0.0.0.0,0,2025-08-23T15:13:13Z,F.D2KUO6M0IPL5Q.H,C.39f282f6e662a1cb,LAPTOP-K8OGF4C7
23968,velociraptor.exe,IPv4,TCP,LISTEN,127.0.0.1,8000,0.0.0.0,0,2025-08-23T16:27:35Z,F.D2KUO6M0IPL5Q.H,C.39f282f6e662a1cb,LAPTOP-K8OGF4C7
23968,velociraptor.exe,IPv4,TCP,ESTAB,127.0.0.1,8000,127.0.0.1,54769,2025-08-23T16:27:37Z,F.D2KUO6M0IPL5Q.H,C.39f282f6e662a1cb,LAPTOP-K8OGF4C7
23968,velociraptor.exe,IPv4,TCP,ESTAB,127.0.0.1,8000,127.0.0.1,54771,2025-08-23T16:27:37Z,F.D2KUO6M0IPL5Q.H,C.39f282f6e662a1cb,LAPTOP-K8OGF4C7
23968,velociraptor.exe,IPv4,TCP,ESTAB,127.0.0.1,8000,127.0.0.1,54774,2025-08-23T16:27:37Z,F.D2KUO6M0IPL5Q.H,C.39f282f6e662a1cb,LAPTOP-K8OGF4C7
23968,velociraptor.exe,IPv4,TCP,ESTAB,127.0.0.1,8000,127.0.0.1,54775,2025-08-23T16:27:37Z,F.D2KUO6M0IPL5Q.H,C.39f282f6e662a1cb,LAPTOP-K8OGF4C7
23968,velociraptor.exe,IPv4,TCP,ESTAB,127.0.0.1,8000,127.0.0.1,54777,2025-08-23T16:27:40Z,F.D2KUO6M0IPL5Q.H,C.39f282f6e662a1cb,LAPTOP-K8OGF4C7
23968,velociraptor.exe,IPv4,TCP,ESTAB,127.0.0.1,8000,127.0.0.1,54779,2025-08-23T16:27:41Z,F.D2KUO6M0IPL5Q.H,C.39f282f6e662a1cb,LAPTOP-K8OGF4C7
23968,velociraptor.exe,IPv4,TCP,LISTEN,127.0.0.1,8001,0.0.0.0,0,2025-08-23T16:27:35Z,F.D2KUO6M0IPL5Q.H,C.39f282f6e662a1cb,LAPTOP-K8OGF4C7
23968,velociraptor.exe,IPv4,TCP,ESTAB,127.0.0.1,8001,127.0.0.1,18049,2025-08-23T16:27:35Z,F.D2KUO6M0IPL5Q.H,C.39f282f6e662a1cb,LAPTOP-K8OGF4C7
23968,velociraptor.exe,IPv4,TCP,LISTEN,127.0.0.1,8003,0.0.0.0,0,2025-08-23T16:27:35Z,F.D2KUO6M0IPL5Q.H,C.39f282f6e662a1cb,LAPTOP-K8OGF4C7
6920,nessusd.exe,IPv4,TCP,LISTEN,0.0.0.0,8834,0.0.0.0,0,2025-08-17T15:06:56Z,F.D2KUO6M0IPL5Q.H,C.39f282f6e662a1cb,LAPTOP-K8OGF4C7
